,date,total_cases,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,row_number,Mexico,Brazil,Ukraine,India,United States,Panama,Hungary,Pakistan,Israel,Bulgaria,Spain,Italy,France,Germany,UK,Turkey,Iran,Russia,Belgium,Canada,Korea,Australia,Norway,Nigeria,United Arab Emirates
14114,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,0.0,181.013,2.42,0.6,10.8,41.949,0.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9685,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,0.0,2.99,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2674,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,0.0,2.2,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19432,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,0.0,2.77,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9231,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,0.0,1.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15080,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4770,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,0.0,156.139,8.31,28.2,33.1,0.0,8.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14480,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,0.0,3.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12671,2020-01-01,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9837,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,0.0,3.18,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6568,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,0.0,86.06,4.77,30.1,35.6,0.0,5.98,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3195,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,0.0,2.5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
954,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,0.0,3.84,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
508,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,0.0,317.84,17.26,1.2,37.4,0.0,1.2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5906,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,0.0,2.97,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1463,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,0.0,5.64,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8929,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16400,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,0.0,8.05,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15081,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5907,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,0.0,2.97,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,0.0,5.64,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
509,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,0.0,317.84,17.26,1.2,37.4,0.0,1.2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
955,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,0.0,3.84,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12672,2020-01-02,0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9232,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,0.0,1.5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19433,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,0.0,2.77,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6569,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,0.0,86.06,4.77,30.1,35.6,0.0,5.98,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2675,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,0.0,2.2,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9686,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,0.0,2.99,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14481,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,0.0,3.6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9838,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,0.0,3.18,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4771,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,0.0,156.139,8.31,28.2,33.1,0.0,8.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14115,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,0.0,181.013,2.42,0.6,10.8,41.949,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8930,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16401,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,0.0,8.05,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3196,2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,0.0,2.5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9233,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,0.0,1.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8931,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3197,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,0.0,2.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4772,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,0.0,156.139,8.31,28.2,33.1,0.0,8.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
510,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,0.0,317.84,17.26,1.2,37.4,0.0,1.2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16402,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,0.0,8.05,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14116,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,0.0,181.013,2.42,0.6,10.8,41.949,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14482,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,0.0,3.6,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9839,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,0.0,3.18,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9687,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,0.0,2.99,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19434,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,0.0,2.77,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5908,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,0.0,2.97,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6570,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,0.0,86.06,4.77,30.1,35.6,0.0,5.98,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15082,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,0.0,5.64,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12673,2020-01-03,0,39.0,18.0,0.0,0.0,0.0,0.0,0.0,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,0.0,3.84,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2676,2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,0.0,2.2,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16403,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,0.0,8.05,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
511,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,0.0,317.84,17.26,1.2,37.4,0.0,1.2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9688,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,0.0,2.99,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3198,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,0.0,2.5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9234,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,0.0,1.5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15083,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14117,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,0.0,181.013,2.42,0.6,10.8,41.949,0.0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14483,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,0.0,3.6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9840,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,0.0,3.18,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8932,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2677,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,0.0,2.2,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5909,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,0.0,2.97,83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6571,2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,0.0,86.06,4.77,30.1,35.6,0.0,5.98,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
